City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
236,Mayna,RU,54.1135,47.6231,-0.24,97,42,6.76,scattered clouds
237,Srandakan,ID,-7.9386,110.2506,85.33,68,77,5.46,broken clouds
238,Tucuman,AR,-26.8241,-65.2226,73.4,78,90,28.77,overcast clouds
239,Komsomolskiy,UZ,40.4272,71.7189,34.52,75,75,6.91,mist
240,Sinnamary,GF,5.3833,-52.95,77.14,89,100,7.58,overcast clouds
241,Bria,CF,6.5423,21.9863,70.56,56,100,1.48,overcast clouds
242,Weinan,CN,34.5036,109.5089,37.51,30,0,6.64,clear sky
243,Berdigestyakh,RU,62.0989,126.6992,-41.1,99,76,0.11,broken clouds
244,Preobrazheniye,RU,42.9019,133.9064,12.06,41,4,7.29,clear sky
245,Imeni Poliny Osipenko,RU,52.4201,136.4853,-22.02,91,86,4.9,overcast clouds
246,Caransebes,RO,45.4167,22.2167,36.46,99,88,0.51,overcast clouds
247,Baiyin,CN,36.5583,104.2081,21.65,45,29,2.04,scattered clouds
248,Eenhana,NA,-17.4667,16.3333,65.07,29,47,6.35,scattered clouds
249,Rafai,CF,4.95,23.9167,69.46,71,31,0.27,scattered clouds
250,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,93,31,5.46,scattered clouds
251,Shingu,JP,33.7333,135.9833,47.91,43,20,7.9,few clouds
252,Nucsoara,RO,45.3333,24.7833,29.57,99,100,0.65,overcast clouds
253,Okhotsk,RU,59.3833,143.3,-14.31,76,100,17.47,overcast clouds
254,Puerto Del Rosario,ES,28.5004,-13.8627,65.95,77,41,12.66,scattered clouds
255,Ambon,ID,-3.6954,128.1814,78.94,83,40,18.41,light rain
256,Quatre Cocos,MU,-20.2078,57.7625,81.09,73,44,9.73,scattered clouds
257,La Ronge,CA,55.1001,-105.2842,-6.2,98,100,4.45,light snow
258,Santiago Del Estero,AR,-27.7951,-64.2615,81.81,19,97,8.32,overcast clouds
259,Klaksvik,FO,62.2266,-6.589,41.92,88,91,2.04,overcast clouds
260,Dabhol,IN,17.6,73.1667,71.92,64,9,4.03,clear sky
261,Coihaique,CL,-45.5752,-72.0662,54.21,77,1,5.12,clear sky
262,Nabire,ID,-3.3667,135.4833,80.33,82,100,0.94,overcast clouds
263,Yenagoa,NG,4.9247,6.2642,78.26,85,96,4.54,light rain
264,Iskateley,RU,67.6803,53.1512,-12.46,97,100,4.12,overcast clouds
265,Piuma,BR,-20.8378,-40.7219,73.4,89,33,4.94,scattered clouds
266,Orlik,RU,52.5178,99.825,-5.22,91,69,2.86,broken clouds
267,Pendleton,US,45.6721,-118.7886,20.57,84,1,8.05,clear sky
268,Qui Nhon,VN,13.7667,109.2333,74.88,90,97,16.28,overcast clouds
269,Saint Anthony,US,45.0205,-93.218,11.25,73,1,3.0,clear sky
270,Celina,US,40.5489,-84.5702,45.54,85,83,12.53,broken clouds
271,Gizo,SB,-8.103,156.8419,85.23,72,97,10.36,overcast clouds
