City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
101,Bluff,NZ,61.81,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
102,Mar Del Plata,AR,68.88,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
104,Sulangan,PH,79.88,broken clouds,11.1373,123.7228,Maia's Beach Resort
105,Yei,SS,69.64,broken clouds,4.095,30.6779,City Link Hotel
106,Moron,AR,78.55,few clouds,-34.6534,-58.6198,Hotel Morón
108,Dingle,PH,78.94,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
111,Namatanai,PG,86.36,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
113,Victoria,HK,61.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
116,Port Elizabeth,ZA,65.1,few clouds,-33.918,25.5701,39 On Nile Guest House
121,Sigli,ID,81.68,scattered clouds,5.3848,95.9609,Losmen Dua Mali
122,Chuy,UY,60.35,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
123,Port Alfred,ZA,66.43,overcast clouds,-33.5906,26.891,The Halyards Hotel
125,San Juan,AR,75.76,moderate rain,-31.5375,-68.5364,Hotel Provincial
128,Pisco,PE,68.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
129,Kalasin,TH,77.99,broken clouds,16.5,103.5,บริษัท บลูเทล จำกัด
133,Owo,NG,71.35,overcast clouds,7.1962,5.5868,The Chancery Hotel and Resort limited
134,Airai,TL,72.19,overcast clouds,-8.9266,125.4092,Juvinal Martin
135,Pilar,BR,76.93,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
137,Vila Franca Do Campo,PT,68.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
138,Kidal,ML,63.28,clear sky,18.4411,1.4078,
139,Ouargaye,BF,72.32,broken clouds,11.5033,0.0572,Résidence le Cotonnier
140,Ler,SS,75.22,overcast clouds,8.3018,30.1418,
146,La Asuncion,VE,75.83,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
149,Hilo,US,74.93,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
150,Rabak,SD,71.73,few clouds,13.1809,32.74,فندق ربك Rabak Hotel
154,Puerto Madryn,AR,75.67,clear sky,-42.7692,-65.0385,Hotel Tolosa
155,Ribeira Grande,PT,66.15,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
159,Padang,ID,83.77,overcast clouds,-0.9492,100.3543,Mercure Padang
160,Buchanan,LR,78.46,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
162,Kavaratti,IN,80.42,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
163,Sur,OM,72.61,clear sky,22.5667,59.5289,Sur Plaza Hotel
164,Santa Fe,AR,75.74,light rain,-31.6333,-60.7,Conquistador Hotel
165,Bathsheba,BB,75.81,few clouds,13.2167,-59.5167,Atlantis Hotel
166,Mayor Pablo Lagerenza,PY,82.0,scattered clouds,-19.9309,-60.7718,
167,Kinkala,CG,69.31,overcast clouds,-4.3614,14.7644,Hotel la Pepeche Kinkala
172,Kasongo-Lunda,CD,69.06,light rain,-6.4667,16.8167,
173,Baloda Bazar,IN,68.36,clear sky,21.6667,82.1667,STARiHOTELS Baloda Bazaar
178,Inhambane,MZ,77.18,broken clouds,-23.865,35.3833,Oceano
180,Sembe,CG,69.31,overcast clouds,1.6481,14.5806,
181,Umm Lajj,SA,67.98,overcast clouds,25.0213,37.2685,Moon light Furnished Units
183,Souillac,MU,80.37,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
184,Taoudenni,ML,67.21,broken clouds,22.6783,-3.9836,
185,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
186,Vila Velha,BR,76.95,light rain,-20.3297,-40.2925,Quality Suites Vila Velha
187,Touros,BR,79.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
192,Marau,BR,65.82,overcast clouds,-28.4492,-52.2,Hotel Pousada Tordilho Negro
