City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
191,Altamira,BR,2021-12-19 19:18:58,-3.2033,-52.2064,82.49,83,75,5.75
192,Krasnaya Zarya,RU,2021-12-19 19:18:58,52.7825,37.6806,29.28,95,96,10.56
193,Sinnamary,GF,2021-12-19 19:18:59,5.3833,-52.95,82.58,71,64,8.86
194,Banmankhi,IN,2021-12-19 19:18:59,25.8833,87.1833,53.49,39,0,7.85
195,Boyolangu,ID,2021-12-19 19:19:00,-8.1181,111.8935,77.2,90,100,1.72
196,Severo-Kurilsk,RU,2021-12-19 19:19:00,50.6789,156.125,28.11,91,100,15.75
197,Mahebourg,MU,2021-12-19 19:19:00,-20.4081,57.7,80.26,83,75,1.14
198,Svetlogorsk,BY,2021-12-19 19:19:01,52.6333,29.7333,31.86,82,87,11.41
199,Mitu,CO,2021-12-19 19:16:08,1.1983,-70.1733,86.16,66,100,3.74
200,Pahalgam,IN,2021-12-19 19:19:01,34.0333,75.3333,19.6,42,0,13.09
201,Imbituba,BR,2021-12-19 19:19:01,-28.24,-48.6703,76.89,64,0,16.75
202,Constitucion,CL,2021-12-19 19:15:56,-35.3333,-72.4167,70.43,60,25,17.49
203,Waddan,LY,2021-12-19 19:19:02,29.1614,16.139,49.42,49,1,7.4
204,Kilindoni,TZ,2021-12-19 19:19:02,-7.9139,39.6668,81.64,77,18,8.99
205,Nanakuli,US,2021-12-19 19:19:03,21.3906,-158.1547,76.1,80,75,8.05
206,Fukue,JP,2021-12-19 19:19:03,32.6881,128.8419,50.52,57,17,11.18
207,Quatre Cocos,MU,2021-12-19 19:19:03,-20.2078,57.7625,80.1,74,1,2.62
208,Klaksvik,FO,2021-12-19 19:19:04,62.2266,-6.589,40.12,76,100,12.01
209,Umm Lajj,SA,2021-12-19 19:19:04,25.0213,37.2685,68.77,55,93,9.01
210,Hualmay,PE,2021-12-19 19:19:04,-11.0964,-77.6139,73.35,69,28,11.07
211,Khandyga,RU,2021-12-19 19:19:05,62.6667,135.6,-37.59,93,100,2.66
212,Kindu,CD,2021-12-19 19:19:05,-2.95,25.95,72.81,88,100,1.07
213,Bantogon,PH,2021-12-19 19:19:05,6.5333,124.0333,78.31,83,28,3.67
214,Lavrentiya,RU,2021-12-19 19:19:06,65.5833,-171.0,34.43,97,100,20.94
215,Takoradi,GH,2021-12-19 19:19:06,4.8845,-1.7554,81.09,75,3,9.48
216,Wanning,CN,2021-12-19 19:19:07,18.8003,110.3967,66.24,94,100,20.65
217,Saint Anthony,US,2021-12-19 19:15:20,45.0205,-93.218,25.25,82,40,7.0
218,Ola,RU,2021-12-19 19:19:07,59.5833,151.2833,-7.01,83,100,9.73
219,San Patricio,US,2021-12-19 19:19:07,28.017,-97.5169,54.16,47,100,12.88
220,Nome,US,2021-12-19 19:19:07,64.5011,-165.4064,34.16,100,90,18.41
221,Mitsamiouli,KM,2021-12-19 19:19:08,-11.3847,43.2844,81.0,76,11,4.21
222,Harper,LR,2021-12-19 19:19:08,4.375,-7.7169,81.0,78,86,10.51
223,Nurota,UZ,2021-12-19 19:19:09,40.5614,65.6886,46.49,40,94,13.15
224,Sao Filipe,CV,2021-12-19 19:19:09,14.8961,-24.4956,71.85,84,100,9.78
225,Victoria,HK,2021-12-19 19:18:31,22.2855,114.1577,68.25,55,100,1.01
226,Muravlenko,RU,2021-12-19 19:19:09,63.7898,74.523,-29.54,98,73,11.36
227,Ilulissat,GL,2021-12-19 19:19:10,69.2167,-51.1,35.62,44,100,18.41
228,Havre-Saint-Pierre,CA,2021-12-19 19:19:10,50.2334,-63.5986,19.4,57,40,10.36
229,Roma,US,2021-12-19 19:15:16,43.2128,-75.4557,28.67,80,90,1.99
230,Linjiang,CN,2021-12-19 19:19:10,41.8069,126.9078,4.84,98,70,0.76
231,Vostok,RU,2021-12-19 19:19:11,46.4856,135.8833,-7.08,98,97,4.9
232,Vallenar,CL,2021-12-19 19:19:11,-28.5708,-70.7581,85.68,31,100,12.17
233,Shache,CN,2021-12-19 19:19:11,38.4167,77.2406,22.96,56,31,2.19
234,Flinders,AU,2021-12-19 19:19:12,-34.5833,150.8552,70.21,86,97,8.23
235,Carnarvon,AU,2021-12-19 19:17:44,-24.8667,113.6333,71.67,83,0,18.41
236,Ingham,US,2021-12-19 19:19:12,42.6,-84.3833,31.77,73,90,3.44
237,Pietarsaari,FI,2021-12-19 19:19:12,63.65,22.6833,26.89,88,18,8.93
238,Yarim,YE,2021-12-19 19:19:13,14.298,44.3779,51.8,37,6,5.37
239,Dingle,PH,2021-12-19 19:19:13,10.9995,122.6711,75.34,91,45,7.16
240,Oranjemund,NA,2021-12-19 19:19:14,-28.55,16.4333,63.18,89,0,5.99
241,Kamenka,RU,2021-12-19 19:19:14,51.3223,42.7678,29.75,97,100,21.03
242,Verkhnevilyuysk,RU,2021-12-19 19:19:14,63.4453,120.3167,-35.32,96,100,5.48
243,Sindhnur,IN,2021-12-19 19:19:14,15.7833,76.7667,65.07,52,0,4.7
244,Baruun-Urt,MN,2021-12-19 19:19:15,46.6806,113.2792,7.68,88,10,5.14
245,High Level,CA,2021-12-19 19:19:15,58.5169,-117.136,-0.29,92,90,0.0
246,Cremona,IT,2021-12-19 19:19:16,45.2333,9.9333,44.47,100,0,8.32
247,Rietavas,LT,2021-12-19 19:19:16,55.7194,21.9311,36.21,93,100,13.18
248,Deputatskiy,RU,2021-12-19 19:19:16,69.3,139.9,-42.36,98,90,5.88
249,Kenai,US,2021-12-19 19:19:17,60.5544,-151.2583,19.49,93,90,4.61
250,Beloha,MG,2021-12-19 19:19:17,-25.1667,45.05,66.31,66,100,9.17
251,Rawson,AR,2021-12-19 19:19:17,-43.3002,-65.1023,84.49,30,20,13.8
252,Amuntai,ID,2021-12-19 19:19:18,-2.4177,115.2494,74.77,99,100,0.98
253,Semey,KZ,2021-12-19 19:19:18,50.4111,80.2275,31.82,97,100,14.79
254,Rieti,IT,2021-12-19 19:19:18,42.4072,12.8592,47.03,47,0,21.85
255,Pocao De Pedras,BR,2021-12-19 19:19:19,-4.6667,-44.85,83.1,80,100,0.74
256,Andenes,NO,2021-12-19 19:19:19,69.3143,16.1194,37.38,70,40,14.97
257,Tuktoyaktuk,CA,2021-12-19 19:19:19,69.4541,-133.0374,-23.8,69,75,9.22
258,Tuatapere,NZ,2021-12-19 19:19:20,-46.1333,167.6833,68.83,61,100,14.03
259,Warri,NG,2021-12-19 19:19:20,5.5167,5.75,80.82,41,10,5.01
260,Souillac,MU,2021-12-19 19:19:20,-20.5167,57.5167,80.37,83,75,1.14
261,Carballo,ES,2021-12-19 19:19:20,43.213,-8.691,53.02,80,8,5.17
262,Husavik,IS,2021-12-19 19:19:21,66.0449,-17.3389,40.91,85,100,13.31
263,Coari,BR,2021-12-19 19:19:21,-4.085,-63.1414,84.87,74,93,2.82
264,Kungurtug,RU,2021-12-19 19:19:21,50.5994,97.5228,7.86,93,100,0.6
265,Norman Wells,CA,2021-12-19 19:19:22,65.282,-126.8329,1.44,78,90,13.8
266,Beringovskiy,RU,2021-12-19 19:19:22,63.05,179.3167,22.44,83,8,9.8
267,Torbay,CA,2021-12-19 19:15:20,47.6666,-52.7314,25.57,72,20,14.97
268,Havoysund,NO,2021-12-19 19:19:23,70.9963,24.6622,26.83,68,100,11.52
269,Bealanana,MG,2021-12-19 19:19:23,-14.55,48.7333,68.05,89,91,1.95
270,Yumen,CN,2021-12-19 19:19:23,40.2833,97.2,25.93,24,0,16.6
271,Toppenish,US,2021-12-19 19:19:03,46.3774,-120.3087,41.0,90,100,1.68
272,Mallaig,CA,2021-12-19 19:19:24,54.2169,-111.3685,5.05,91,78,13.53
273,Axim,GH,2021-12-19 19:19:24,4.8699,-2.2405,80.62,75,3,8.86
274,Mount Gambier,AU,2021-12-19 19:19:24,-37.8333,140.7667,57.34,64,100,11.61
275,Kurilsk,RU,2021-12-19 19:19:25,45.2333,147.8833,25.03,61,100,9.33
276,Tilichiki,RU,2021-12-19 19:19:25,60.4667,166.1,-19.1,97,54,6.49
